Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
MLPClassifier,0.8943,0.8959,0.8943,0.8946,0.9124,0.9128,0.9124,0.9125,0.8667,0.8677,0.8667,0.8661,0.9764,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,MLPClassifier()
DecisionTreeClassifier,0.9382,0.9387,0.9382,0.9383,0.945,0.945,0.945,0.945,0.8667,0.87,0.8667,0.8635,0.9537,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8525,0.8552,0.8525,0.8526,0.8423,0.8453,0.8423,0.8432,0.8333,0.8365,0.8333,0.8339,0.9661,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8482,0.8505,0.8482,0.8475,0.863,0.8669,0.863,0.8629,0.8333,0.8365,0.8333,0.8339,0.9641,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8243,0.8244,0.8243,0.8243,0.8276,0.8283,0.8276,0.8278,0.8333,0.8371,0.8333,0.8307,0.9364,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'A']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8262,0.8266,0.8262,0.8262,0.8248,0.8247,0.8248,0.8247,0.8333,0.8322,0.8333,0.8303,0.9366,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,KNeighborsClassifier()
SVC,0.8516,0.8603,0.8516,0.8528,0.8512,0.8571,0.8512,0.8521,0.8167,0.8214,0.8167,0.8181,0.9343,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,SVC(probability=True)
RandomForestClassifier,0.8318,0.8317,0.8318,0.8313,0.8113,0.8108,0.8113,0.8103,0.8167,0.8208,0.8167,0.8161,0.9458,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,RandomForestClassifier()
MLPClassifier,0.8368,0.8454,0.8368,0.8372,0.8289,0.8531,0.8289,0.8321,0.8167,0.8266,0.8167,0.8141,0.9612,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,MLPClassifier()
RandomForestClassifier,0.8382,0.8407,0.8382,0.8381,0.8591,0.8609,0.8591,0.8593,0.8,0.8089,0.8,0.8023,0.9576,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8455,0.8481,0.8455,0.8454,0.8383,0.8416,0.8383,0.838,0.8,0.8089,0.8,0.8023,0.9593,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8277,0.8278,0.8277,0.8272,0.8496,0.849,0.8496,0.849,0.8,0.8049,0.8,0.8002,0.9487,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,RandomForestClassifier()
