Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.8707;0.8724;0.8707;0.8707;0.8946;0.8958;0.8946;0.8949;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.8606;0.8628;0.8606;0.861;0.9252;0.9258;0.9252;0.9254;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.867;0.8689;0.867;0.8674;0.8844;0.8866;0.8844;0.8851;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
KNeighborsClassifier;0.8666;0.8693;0.8666;0.8669;0.8741;0.8736;0.8741;0.8736;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.9059;0.9071;0.9059;0.9061;0.9048;0.9047;0.9048;0.9047;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 164};RandomForestClassifier(n_estimators=20, random_state=164)
KNeighborsClassifier;0.8673;0.8694;0.8673;0.8677;0.9014;0.9022;0.9014;0.9015;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.904;0.9055;0.904;0.9041;0.8946;0.8952;0.8946;0.8946;0.85;0.8508;0.85;0.849;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 164};RandomForestClassifier(n_estimators=20, random_state=164)
KNeighborsClassifier;0.8715;0.8722;0.8715;0.8716;0.898;0.8975;0.898;0.8975;0.85;0.8505;0.85;0.8489;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8632;0.8663;0.8632;0.8636;0.8741;0.8765;0.8741;0.8748;0.85;0.8492;0.85;0.8485;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8643;0.8671;0.8643;0.8647;0.8878;0.8873;0.8878;0.887;0.85;0.8492;0.85;0.8485;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
RandomForestClassifier;0.9044;0.9063;0.9044;0.9046;0.8912;0.8916;0.8912;0.8913;0.85;0.849;0.85;0.8481;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 488};RandomForestClassifier(n_estimators=10, random_state=488)
