;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
54;KNeighborsClassifier;0.912;0.9129;0.912;0.9122;0.9134;0.9135;0.9134;0.9135;0.85;0.8526;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
55;RandomForestClassifier;0.9195;0.9198;0.9195;0.9195;0.9128;0.9128;0.9128;0.9128;0.85;0.8514;0.85;0.8483;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 124};RandomForestClassifier(n_estimators=20, random_state=124)
56;KNeighborsClassifier;0.9104;0.9114;0.9104;0.9105;0.9282;0.9283;0.9282;0.9282;0.85;0.8514;0.85;0.8483;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
148;MLPClassifier;0.8841;0.8846;0.8841;0.8839;0.8773;0.8768;0.8773;0.877;0.85;0.8505;0.85;0.8499;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 829, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=829)
147;SVC;0.8581;0.8598;0.8581;0.8577;0.8913;0.8913;0.8913;0.891;0.85;0.8505;0.85;0.8499;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 489};SVC(C=10, random_state=489)
146;DecisionTreeClassifier;0.9656;0.9657;0.9656;0.9656;0.9336;0.9341;0.9336;0.9337;0.85;0.8639;0.85;0.8508;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 996};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=996)
145;DecisionTreeClassifier;0.9654;0.9655;0.9654;0.9654;0.9215;0.9216;0.9215;0.9215;0.85;0.8639;0.85;0.8508;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 186};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=186)
144;DecisionTreeClassifier;0.9665;0.9666;0.9665;0.9665;0.9289;0.9295;0.9289;0.9291;0.85;0.8639;0.85;0.8508;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 610};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=610)
143;DecisionTreeClassifier;0.9673;0.9674;0.9673;0.9674;0.9315;0.932;0.9315;0.9316;0.85;0.8639;0.85;0.8508;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 186};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=186)
0;KNeighborsClassifier;0.9336;0.9351;0.9336;0.9336;0.9329;0.9327;0.9329;0.9325;0.85;0.8579;0.85;0.8507;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
86;DecisionTreeClassifier;0.9751;0.9752;0.9751;0.9751;0.9324;0.9371;0.9324;0.9327;0.85;0.8643;0.85;0.8484;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 328};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=328)
87;DecisionTreeClassifier;0.9767;0.9768;0.9767;0.9767;0.9337;0.9339;0.9337;0.9338;0.85;0.8643;0.85;0.8484;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 328};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=328)
88;DecisionTreeClassifier;0.9763;0.9764;0.9763;0.9763;0.9297;0.9302;0.9297;0.9299;0.85;0.8643;0.85;0.8484;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 771};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=771)
89;DecisionTreeClassifier;0.9775;0.9775;0.9775;0.9775;0.9317;0.9318;0.9317;0.9316;0.85;0.8582;0.85;0.8477;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 771};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=771)
4;MLPClassifier;0.9321;0.9341;0.9321;0.932;0.9244;0.9246;0.9244;0.9237;0.85;0.849;0.85;0.8481;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 519, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=519)
3;RandomForestClassifier;0.9435;0.9456;0.9435;0.9435;0.9478;0.9495;0.9478;0.9477;0.85;0.8508;0.85;0.849;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 653};RandomForestClassifier(n_estimators=10, random_state=653)
2;RandomForestClassifier;0.9429;0.9448;0.9429;0.9429;0.9491;0.9502;0.9491;0.9491;0.85;0.8508;0.85;0.849;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 687};RandomForestClassifier(n_estimators=5, random_state=687)
1;DecisionTreeClassifier;0.9416;0.9432;0.9416;0.9416;0.9364;0.9362;0.9364;0.9361;0.85;0.8497;0.85;0.8495;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 804};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=804)
0;RandomForestClassifier;0.9453;0.947;0.9453;0.9453;0.927;0.9296;0.927;0.9274;0.85;0.8497;0.85;0.8495;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 954};RandomForestClassifier(n_estimators=5, random_state=954)
46;KNeighborsClassifier;0.9113;0.9125;0.9113;0.9115;0.9081;0.9092;0.9081;0.9081;0.85;0.8526;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
52;RandomForestClassifier;0.9195;0.92;0.9195;0.9196;0.9013;0.9014;0.9013;0.9014;0.85;0.8526;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 124};RandomForestClassifier(n_estimators=20, random_state=124)
44;RandomForestClassifier;0.9191;0.9194;0.9191;0.9192;0.9128;0.9128;0.9128;0.9128;0.85;0.8508;0.85;0.849;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 120};RandomForestClassifier(n_estimators=20, random_state=120)
5;DecisionTreeClassifier;0.8853;0.8858;0.8853;0.8852;0.8753;0.8753;0.8753;0.8752;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 90};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=90)
17;DecisionTreeClassifier;0.8835;0.8841;0.8835;0.8835;0.8879;0.888;0.8879;0.8879;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
16;DecisionTreeClassifier;0.8846;0.885;0.8846;0.8845;0.8765;0.8782;0.8765;0.8764;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
15;DecisionTreeClassifier;0.8829;0.8833;0.8829;0.8829;0.8872;0.8875;0.8872;0.8872;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
